#Temperature #B_2
  50.000 -665.3494170824
  60.000 -447.9066176978
  70.000 -329.1319326520
  80.000 -255.1213527385
  90.000 -204.8523202659
 100.000 -168.5870417257
 110.000 -141.2393072454
 120.000 -119.9070178957
 130.000 -102.8184375648
 140.000  -88.8326759534
 150.000  -77.1827352711
 160.000  -67.3343540931
 170.000  -58.9041622750
 180.000  -51.6100348160
 190.000  -45.2398021399
 200.000  -39.6308707028
 210.000  -34.6565656371
 220.000  -30.2167467184
 230.000  -26.2312167833
 240.000  -22.6349999407
 250.000  -19.3748992965
 260.000  -16.4069475067
 270.000  -13.6944914021
 280.000  -11.2067341600
 290.000   -8.9176124819
 300.000   -6.8049223358
 310.000   -4.8496313916
 320.000   -3.0353332667
 330.000   -1.3478106128
 340.000    0.2253174510
 350.000    1.6948819512
 360.000    3.0703986714
 370.000    4.3602614387
 380.000    5.5719023311
 390.000    6.7119252236
 400.000    7.7862177065
 410.000    8.8000453534
 420.000    9.7581314996
 430.000   10.6647250648
 440.000   11.5236584570
 450.000   12.3383972091
 460.000   13.1120826919
 470.000   13.8475690051
 480.000   14.5474549490
 490.000   15.2141118272
 500.000   15.8497076989
 510.000   16.4562285990
 520.000   17.0354971588
 530.000   17.5891889918
 540.000   18.1188471490
 550.000   18.6258949068
 560.000   19.1116471044
 570.000   19.5773202212
 580.000   20.0240413531
 590.000   20.4528562254
 600.000   20.8647363624
 610.000   21.2605855122
 620.000   21.6412454188
 630.000   22.0075010148
 640.000   22.3600851026
 650.000   22.6996825817
 660.000   23.0269342726
 670.000   23.3424403809
 680.000   23.6467636411
 690.000   23.9404321739
 700.000   24.2239420863
 710.000   24.4977598427
 720.000   24.7623244278
 730.000   25.0180493244
 740.000   25.2653243233
 750.000   25.5045171813
 760.000   25.7359751435
 770.000   25.9600263403
 780.000   26.1769810731
 790.000   26.3871329979
 800.000   26.5907602161
 810.000   26.7881262809
 820.000   26.9794811273
 830.000   27.1650619316
 840.000   27.3450939069
 850.000   27.5197910407
 860.000   27.6893567777
 870.000   27.8539846549
 880.000   28.0138588906
 890.000   28.1691549327
 900.000   28.3200399684
 910.000   28.4666733993
 920.000   28.6092072842
 930.000   28.7477867520
 940.000   28.8825503878
 950.000   29.0136305924
 960.000   29.1411539199
 970.000   29.2652413926
 980.000   29.3860087961
 990.000   29.5035669561
1000.000   29.6180219976
