#Temperature #B_2
  50.000 -680.4828082573
  60.000 -457.5623294006
  70.000 -336.0970589849
  80.000 -260.5397158880
  90.000 -209.2841485440
 100.000 -172.3418766989
 110.000 -144.5037247733
 120.000 -122.8010944928
 130.000 -105.4235014303
 140.000  -91.2061098991
 150.000  -79.3664050716
 160.000  -69.3596690858
 170.000  -60.7952507097
 180.000  -53.3858116023
 190.000  -46.9153586802
 200.000  -41.2184349814
 210.000  -36.1661814672
 220.000  -31.6567645058
 230.000  -27.6086547826
 240.000  -23.9558146504
 250.000  -20.6441909027
 260.000  -17.6291181113
 270.000  -14.8733683991
 280.000  -12.3456675302
 290.000  -10.0195523175
 300.000   -7.8724812061
 310.000   -5.8851349598
 320.000   -4.0408617092
 330.000   -2.3252327727
 340.000   -0.7256843005
 350.000    0.7687739895
 360.000    2.1677971858
 370.000    3.4799015368
 380.000    4.7126271744
 390.000    5.8726737373
 400.000    6.9660140146
 410.000    7.9979896532
 420.000    8.9733921468
 430.000    9.8965316778
 440.000   10.7712958872
 450.000   11.6012002471
 460.000   12.3894314045
 470.000   13.1388846128
 480.000   13.8521961713
 490.000   14.5317716305
 500.000   15.1798103962
 510.000   15.7983272553
 520.000   16.3891712637
 530.000   16.9540423666
 540.000   17.4945060610
 550.000   18.0120063647
 560.000   18.5078773158
 570.000   18.9833531923
 580.000   19.4395776161
 590.000   19.8776116797
 600.000   20.2984412158
 610.000   20.7029833144
 620.000   21.0920921753
 630.000   21.4665643745
 640.000   21.8271436114
 650.000   22.1745249960
 660.000   22.5093589262
 670.000   22.8322546011
 680.000   23.1437832093
 690.000   23.4444808263
 700.000   23.7348510517
 710.000   24.0153674132
 720.000   24.2864755608
 730.000   24.5485952723
 740.000   24.8021222886
 750.000   25.0474299961
 760.000   25.2848709693
 770.000   25.5147783889
 780.000   25.7374673451
 790.000   25.9532360383
 800.000   26.1623668855
 810.000   26.3651275409
 820.000   26.5617718395
 830.000   26.7525406684
 840.000   26.9376627745
 850.000   27.1173555117
 860.000   27.2918255346
 870.000   27.4612694418
 880.000   27.6258743743
 890.000   27.7858185705
 900.000   27.9412718845
 910.000   28.0923962676
 920.000   28.2393462172
 930.000   28.3822691966
 940.000   28.5213060253
 950.000   28.6565912452
 960.000   28.7882534624
 970.000   28.9164156666
 980.000   29.0411955310
 990.000   29.1627056926
1000.000   29.2810540158
