#Temperature #B_2
  50.000 -672.5687934675
  60.000 -452.0915623976
  70.000 -331.9149839046
  80.000 -257.1411142618
  90.000 -206.4084763356
 100.000 -169.8389907494
 110.000 -142.2798948740
 120.000 -120.7941613918
 130.000 -103.5902439862
 140.000  -89.5153061326
 150.000  -77.7947800447
 160.000  -67.8894076990
 170.000  -59.4124066060
 180.000  -52.0792531951
 190.000  -45.6760498293
 200.000  -40.0389311985
 210.000  -35.0402689855
 220.000  -30.5791964597
 230.000  -26.5749548850
 240.000  -22.9621287223
 250.000  -19.6871729388
 260.000  -16.7058416734
 270.000  -13.9812568599
 280.000  -11.4824385345
 290.000   -9.1831731006
 300.000   -7.0611322982
 310.000   -5.0971804365
 320.000   -3.2748246031
 330.000   -1.5797745914
 340.000    0.0004121595
 350.000    1.4766191609
 360.000    2.8584070742
 370.000    4.1542082772
 380.000    5.3714881106
 390.000    6.5168792710
 400.000    7.5962944242
 410.000    8.6150210449
 420.000    9.5778016704
 430.000   10.4889021172
 440.000   11.3521697145
 450.000   12.1710832168
 460.000   12.9487957505
 470.000   13.6881719002
 480.000   14.3918198484
 490.000   15.0621193192
 500.000   15.7012459519
 510.000   16.3111926250
 520.000   16.8937881660
 530.000   17.4507138131
 540.000   17.9835177381
 550.000   18.4936278906
 560.000   18.9823633856
 570.000   19.4509446246
 580.000   19.9005023091
 590.000   20.3320854877
 600.000   20.7466687537
 610.000   21.1451586962
 620.000   21.5283996945
 630.000   21.8971791305
 640.000   22.2522320881
 650.000   22.5942455958
 660.000   22.9238624641
 670.000   23.2416847627
 680.000   23.5482769749
 690.000   23.8441688650
 700.000   24.1298580872
 710.000   24.4058125645
 720.000   24.6724726589
 730.000   24.9302531558
 740.000   25.1795450793
 750.000   25.4207173559
 760.000   25.6541183411
 770.000   25.8800772212
 780.000   26.0989053027
 790.000   26.3108971993
 800.000   26.5163319263
 810.000   26.7154739097
 820.000   26.9085739192
 830.000   27.0958699297
 840.000   27.2775879198
 850.000   27.4539426105
 860.000   27.6251381513
 870.000   27.7913687556
 880.000   27.9528192925
 890.000   28.1096658357
 900.000   28.2620761753
 910.000   28.4102102939
 920.000   28.5542208107
 930.000   28.6942533952
 940.000   28.8304471547
 950.000   28.9629349946
 960.000   29.0918439568
 970.000   29.2172955357
 980.000   29.3394059739
 990.000   29.4582865396
1000.000   29.5740437867
