#Temperature #B_2
  50.000 -682.0131722723
  60.000 -458.6605054124
  70.000 -336.9568992494
  80.000 -261.2557345403
  90.000 -209.9071395321
 100.000 -172.9015955209
 110.000 -145.0188666347
 120.000 -123.2840791455
 130.000 -105.8829521530
 140.000  -91.6482264894
 150.000  -79.7957691855
 160.000  -69.7797405688
 170.000  -61.2086868601
 180.000  -53.7946802996
 190.000  -47.3212853134
 200.000  -41.6227066062
 210.000  -36.5698224475
 220.000  -32.0605926079
 230.000  -28.0133235321
 240.000  -24.3618458205
 250.000  -21.0519997744
 260.000  -18.0390333448
 270.000  -15.2856478281
 280.000  -12.7605108273
 290.000  -10.4371112307
 300.000   -8.2928678894
 310.000   -6.3084287931
 320.000   -4.4671149119
 330.000   -2.7544750456
 340.000   -1.1579266806
 350.000    0.3335359165
 360.000    1.7295805992
 370.000    3.0387341288
 380.000    4.2685452570
 390.000    5.4257206480
 400.000    6.5162387710
 410.000    7.5454458165
 420.000    8.5181368600
 430.000    9.4386248527
 440.000   10.3107995146
 450.000   11.1381778140
 460.000   11.9239474000
 470.000   12.6710041108
 480.000   13.3819844775
 490.000   14.0592939856
 500.000   14.7051317259
 510.000   15.3215119611
 520.000   15.9102830482
 530.000   16.4731440890
 540.000   17.0116596174
 550.000   17.5272725913
 560.000   18.0213159101
 570.000   18.4950226512
 580.000   18.9495351872
 590.000   19.3859133250
 600.000   19.8051415855
 610.000   20.2081357296
 620.000   20.5957486177
 630.000   20.9687754834
 640.000   21.3279586854
 650.000   21.6739919996
 660.000   22.0075245003
 670.000   22.3291640771
 680.000   22.6394806253
 690.000   22.9390089465
 700.000   23.2282513870
 710.000   23.5076802436
 720.000   23.7777399591
 730.000   24.0388491290
 740.000   24.2914023370
 750.000   24.5357718384
 760.000   24.7723091030
 770.000   25.0013462334
 780.000   25.2231972686
 790.000   25.4381593845
 800.000   25.6465140000
 810.000   25.8485277983
 820.000   26.0444536690
 830.000   26.2345315803
 840.000   26.4189893856
 850.000   26.5980435708
 860.000   26.7718999470
 870.000   26.9407542942
 880.000   27.1047929580
 890.000   27.2641934056
 900.000   27.4191247427
 910.000   27.5697481943
 920.000   27.7162175538
 930.000   27.8586796017
 940.000   27.9972744959
 950.000   28.1321361367
 960.000   28.2633925088
 970.000   28.3911659995
 980.000   28.5155736987
 990.000   28.6367276785
1000.000   28.7547352559
