cpu,cuda,opencl
-8861.487,-8861.487,-8861.487
-8945.403,-8945.403,-8945.403
-8996.130,-8996.130,-9009.661
-9009.434,-9009.434,-8998.931
-9023.859,-9023.859,-8998.464
-9008.404,-9008.404,-8971.700
-9003.212,-9003.212,-8983.440
-8999.299,-8999.299,-8983.767
-9006.049,-9006.049,-8993.286
-9004.681,-9004.681,-8994.205
-8996.038,-8996.038,-8975.020
-8987.639,-8987.639,-8957.417
-8979.699,-8979.830,-8942.980
-8974.753,-8974.962,-8932.444
-8983.835,-8984.104,-8942.801
-8992.278,-8995.367,-8951.962
-8993.224,-8998.827,-8955.235
-8988.900,-8996.771,-8951.772
-8984.696,-8995.081,-8946.748
-8968.487,-8987.693,-8936.214
-8949.809,-8976.285,-8924.106
-8935.538,-8968.645,-8916.371
-8919.783,-8958.525,-8909.221
-8913.794,-8957.969,-8909.915
-8910.042,-8959.297,-8912.576
-8910.217,-8953.505,-8909.117
-8906.803,-8944.523,-8902.926
-8897.994,-8930.524,-8897.424
-8886.067,-8912.103,-8887.245
-8873.907,-8893.810,-8876.970
-8858.242,-8873.022,-8862.755
-8844.741,-8854.611,-8851.381
-8825.328,-8830.702,-8837.993
-8808.701,-8808.381,-8827.163
-8791.106,-8784.626,-8815.867
-8774.552,-8761.604,-8807.973
-8754.196,-8733.436,-8793.783
-8736.872,-8708.555,-8782.330
-8720.912,-8685.177,-8772.365
-8704.724,-8662.658,-8762.734
-8691.821,-8645.869,-8759.733
-8686.203,-8633.924,-8761.724
-8681.936,-8624.755,-8765.724
-8675.283,-8615.637,-8772.870
-8671.735,-8607.422,-8782.242
-8672.693,-8604.424,-8793.411
-8674.685,-8603.370,-8805.445
-8677.551,-8608.627,-8814.970
-8677.947,-8612.167,-8820.823
-8679.153,-8615.796,-8827.608
-8680.402,-8619.141,-8833.883
-8685.668,-8625.538,-8841.422
-8691.675,-8633.212,-8850.907
-8697.366,-8642.379,-8859.074
-8706.445,-8653.874,-8869.367
-8716.592,-8659.957,-8877.512
-8728.189,-8667.872,-8884.567
-8739.555,-8674.870,-8890.663
-8749.727,-8682.255,-8896.423
-8761.821,-8691.396,-8904.514
-8772.623,-8699.987,-8914.705
-8782.161,-8708.295,-8925.918
-8790.429,-8714.964,-8937.290
-8802.752,-8723.736,-8948.752
-8813.371,-8730.668,-8956.855
-8820.400,-8733.334,-8960.263
-8827.920,-8731.477,-8966.657
-8837.614,-8730.266,-8976.812
-8843.434,-8725.445,-8981.657
-8847.472,-8720.468,-8985.186
-8848.692,-8713.688,-8985.720
-8849.039,-8706.060,-8984.806
-8847.611,-8696.987,-8982.557
-8850.177,-8689.484,-8982.439
-8857.446,-8688.061,-8983.711
-8864.419,-8683.472,-8985.071
-8870.319,-8679.239,-8986.574
-8878.020,-8675.812,-8987.890
-8885.162,-8672.553,-8988.826
-8891.072,-8667.589,-8987.384
-8896.378,-8661.432,-8984.406
-8900.444,-8654.347,-8980.458
-8904.488,-8647.318,-8978.134
-8907.600,-8639.138,-8976.163
-8908.602,-8630.825,-8972.899
-8907.542,-8621.531,-8971.604
-8905.048,-8613.851,-8970.614
-8901.694,-8605.927,-8969.808
-8896.794,-8595.917,-8970.276
-8892.415,-8587.441,-8971.073
-8889.718,-8580.771,-8972.856
-8889.757,-8577.029,-8977.644
-8888.846,-8572.795,-8982.810
-8889.656,-8570.458,-8988.111
-8891.352,-8570.274,-8993.814
-8892.383,-8569.138,-8998.206
-8894.616,-8569.561,-9002.524
-8896.810,-8569.443,-9004.809
-8898.640,-8569.567,-9008.247
-8899.967,-8571.195,-9010.733
-8903.414,-8573.763,-9015.053
-8906.294,-8576.462,-9019.580
-8907.977,-8581.066,-9023.728
-8910.090,-8584.941,-9027.921
-8914.207,-8589.442,-9034.116
-8920.797,-8597.449,-9042.678
-8925.062,-8604.584,-9051.390
-8930.112,-8611.782,-9059.383
-8936.684,-8619.041,-9067.806
-8942.845,-8625.515,-9074.573
-8950.639,-8630.640,-9081.873
-8958.310,-8635.629,-9088.130
-8964.080,-8638.741,-9092.503
-8969.704,-8641.539,-9095.676
-8974.988,-8644.675,-9099.356
-8979.878,-8646.828,-9103.132
-8984.029,-8647.295,-9103.622
-8986.216,-8648.165,-9104.795
-8988.742,-8649.040,-9106.108
-8991.008,-8649.620,-9106.932
-8994.040,-8651.110,-9108.190
-8997.189,-8653.060,-9109.201
-8998.049,-8652.948,-9107.637
-8998.201,-8652.371,-9104.502
-8999.858,-8652.805,-9101.574
-9001.703,-8652.649,-9098.478
-9002.709,-8650.194,-9096.614
-9003.146,-8648.713,-9094.393
-9003.828,-8647.266,-9093.098
-9003.815,-8645.692,-9092.908
-9003.132,-8644.665,-9092.692
-9002.801,-8643.579,-9092.555
-9004.016,-8641.144,-9090.170
-9004.807,-8640.577,-9087.961
-9005.994,-8639.766,-9084.737
-9006.603,-8639.280,-9082.207
-9006.796,-8638.772,-9080.183
-9006.959,-8638.906,-9076.875
-9006.996,-8639.101,-9073.679
-9008.172,-8639.977,-9070.478
-9009.851,-8641.182,-9066.661
-9009.822,-8640.543,-9062.085
-9009.723,-8639.237,-9057.281
-9010.781,-8639.869,-9052.721
-9012.216,-8640.742,-9048.636
-9014.309,-8642.350,-9043.765
-9016.084,-8644.007,-9040.642
-9018.525,-8646.393,-9038.270
-9020.506,-8647.671,-9035.091
-9021.417,-8647.929,-9031.830
-9022.278,-8648.617,-9028.888
-9022.993,-8650.107,-9025.223
-9021.883,-8650.078,-9021.581
-9020.732,-8650.348,-9019.011
-9020.302,-8650.461,-9016.428
-9018.637,-8650.341,-9013.166
-9017.951,-8650.785,-9009.961
-9017.508,-8651.617,-9007.403
-9016.382,-8651.790,-9003.710
-9016.036,-8653.763,-9000.653
-9015.660,-8655.649,-8998.270
-9015.407,-8657.466,-8996.413
-9015.037,-8659.563,-8994.502
-9014.395,-8661.301,-8992.887
-9013.632,-8662.652,-8991.263
-9011.396,-8664.937,-8989.133
-9010.331,-8667.400,-8987.460
-9007.579,-8669.836,-8985.971
-9005.493,-8672.362,-8985.255
-9004.187,-8673.601,-8983.498
-9002.985,-8675.085,-8981.645
-9002.825,-8675.413,-8979.238
-9002.995,-8676.236,-8976.608
-9003.021,-8677.456,-8974.350
-9002.750,-8677.454,-8971.789
-9002.679,-8677.715,-8970.189
-9002.785,-8676.800,-8968.055
-9003.558,-8675.260,-8965.043
-9003.516,-8672.970,-8962.057
-9003.368,-8669.421,-8958.193
-9003.041,-8665.446,-8953.153
-9002.428,-8660.449,-8947.050
-9002.363,-8655.217,-8941.174
-9002.168,-8649.620,-8934.921
-9001.566,-8643.983,-8929.492
-9001.447,-8638.589,-8925.121
-9000.827,-8632.699,-8920.084
-9000.176,-8627.953,-8914.834
-8999.228,-8622.897,-8909.378
-8997.460,-8618.023,-8903.432
-8996.187,-8612.843,-8897.406
-8994.630,-8606.846,-8891.474
-8992.360,-8600.945,-8886.686
-8990.927,-8595.382,-8881.989
-8989.490,-8589.592,-8877.743
-8987.523,-8584.114,-8874.703
-8986.640,-8579.295,-8871.952
-8986.072,-8574.966,-8869.439
-8985.287,-8569.961,-8865.705
-8984.418,-8564.955,-8861.904
-8984.638,-8560.909,-8858.896
-8985.092,-8557.096,-8855.575
-8984.972,-8552.176,-8851.634
-8984.751,-8547.609,-8847.857
-8985.819,-8543.260,-8844.812
-8987.477,-8538.569,-8842.432
-8988.615,-8533.263,-8840.070
-8989.974,-8528.494,-8837.837
-8990.535,-8523.716,-8835.076
-8991.618,-8519.834,-8831.848
-8992.307,-8515.531,-8828.374
-8993.432,-8511.970,-8825.168
-8994.100,-8508.558,-8821.763
-8994.838,-8505.980,-8817.950
-8995.019,-8503.532,-8814.495
-8995.487,-8500.837,-8811.019
-8995.796,-8499.218,-8808.569
-8996.338,-8496.661,-8806.301
-8996.639,-8494.124,-8803.645
-8996.935,-8492.367,-8801.932
-8997.832,-8490.928,-8802.064
-8998.621,-8489.832,-8801.832
-9000.025,-8489.466,-8802.002
-9001.747,-8488.819,-8801.838
-9001.321,-8487.571,-8801.607
-9001.222,-8486.896,-8801.901
-9001.144,-8486.248,-8802.118
-9001.413,-8485.684,-8802.315
-9001.187,-8485.215,-8802.028
-9000.969,-8483.808,-8802.093
-9001.242,-8483.437,-8802.949
-9001.392,-8483.039,-8804.738
-9001.917,-8482.686,-8806.974
-9002.181,-8483.411,-8809.617
-9001.725,-8484.443,-8812.227
-9000.507,-8484.897,-8814.087
-8999.426,-8485.745,-8815.084
-8998.103,-8486.727,-8817.481
-8996.418,-8487.543,-8819.995
-8994.458,-8487.459,-8822.743
-8992.265,-8487.011,-8825.069
-8990.185,-8486.095,-8828.323
-8988.652,-8485.152,-8832.651
-8987.323,-8484.468,-8837.043
-8984.798,-8483.958,-8841.626
-8982.589,-8483.583,-8846.651
-8981.165,-8483.003,-8851.006
-8980.157,-8482.643,-8855.470
-8978.912,-8481.863,-8858.735
-8977.172,-8481.396,-8862.756
-8976.219,-8481.838,-8868.149
