#energy #coulombic #rd #polar #kinetic #temp #N #spin_ratio #volume
-129406.992142 -9029.318825 -93962.782692 -26414.890625 0.000000 0.000000 156.000000 0.000000 11324.989599
-129533.570242 -9097.584261 -93887.169574 -26548.816406 0.000000 0.000000 156.000000 0.000000 11324.989599
-129444.303439 -9049.345673 -93882.471437 -26512.486328 0.000000 0.000000 156.000000 0.000000 11324.989599
-129506.851727 -9081.558863 -93830.912004 -26594.380859 0.000000 0.000000 156.000000 0.000000 11324.989599
-129309.179116 -8931.130333 -93882.710892 -26495.337891 0.000000 0.000000 156.000000 0.000000 11324.989599
-129274.080274 -8972.056437 -93868.955478 -26433.068359 0.000000 0.000000 156.000000 0.000000 11324.989599
-129365.450738 -8971.911371 -93928.773742 -26464.765625 0.000000 0.000000 156.000000 0.000000 11324.989599
-129587.181729 -9060.045307 -94171.112984 -26356.023438 0.000000 0.000000 156.000000 0.000000 11324.989599
-129603.433679 -8992.375041 -94206.587934 -26404.470703 0.000000 0.000000 156.000000 0.000000 11324.989599
-129628.622978 -8909.607022 -94243.695644 -26475.320312 0.000000 0.000000 156.000000 0.000000 11324.989599
-129777.247495 -8895.245048 -94323.754400 -26558.248047 0.000000 0.000000 156.000000 0.000000 11324.989599
-129919.218595 -8886.129164 -94353.411696 -26679.677734 0.000000 0.000000 156.000000 0.000000 11324.989599
-129927.442749 -8911.679913 -94424.977680 -26590.785156 0.000000 0.000000 156.000000 0.000000 11324.989599
-130004.324982 -9112.086873 -94325.115062 -26567.123047 0.000000 0.000000 156.000000 0.000000 11324.989599
-130048.482565 -9164.316454 -94403.787205 -26480.378906 0.000000 0.000000 156.000000 0.000000 11324.989599
-129935.167051 -9054.180845 -94399.884644 -26481.101562 0.000000 0.000000 156.000000 0.000000 11324.989599
-129852.157344 -8961.817084 -94520.053150 -26370.287109 0.000000 0.000000 156.000000 0.000000 11324.989599
-129871.109388 -8964.658107 -94625.591906 -26280.859375 0.000000 0.000000 156.000000 0.000000 11324.989599
-129832.648977 -8847.325290 -94890.583452 -26094.740234 0.000000 0.000000 156.000000 0.000000 11324.989599
-129970.158283 -8748.135417 -94979.354898 -26242.667969 0.000000 0.000000 156.000000 0.000000 11324.989599
-130107.005099 -8808.185759 -94978.655277 -26320.164062 0.000000 0.000000 156.000000 0.000000 11324.989599
-130029.348892 -8735.883840 -94905.156458 -26388.308594 0.000000 0.000000 156.000000 0.000000 11324.989599
-130288.496905 -8945.185946 -94883.992599 -26459.318359 0.000000 0.000000 156.000000 0.000000 11324.989599
-130471.142914 -8991.183611 -94832.740553 -26647.218750 0.000000 0.000000 156.000000 0.000000 11324.989599
-130337.464752 -8808.700876 -94793.340048 -26735.423828 0.000000 0.000000 156.000000 0.000000 11324.989599
-130235.226696 -8710.988579 -94792.255695 -26731.982422 0.000000 0.000000 156.000000 0.000000 11324.989599
-130263.333911 -8552.548179 -94960.141200 -26750.644531 0.000000 0.000000 156.000000 0.000000 11324.989599
-130201.642982 -8396.328864 -94927.302400 -26878.011719 0.000000 0.000000 156.000000 0.000000 11324.989599
-130240.918185 -8363.287131 -94949.375195 -26928.255859 0.000000 0.000000 156.000000 0.000000 11324.989599
-130067.664524 -8249.393957 -94889.088927 -26929.181641 0.000000 0.000000 156.000000 0.000000 11324.989599
-129976.766004 -8283.881590 -94846.757460 -26846.126953 0.000000 0.000000 156.000000 0.000000 11324.989599
