cpu,cuda,opencl
-25469.84345,-26160.81055,-16756.75000
-25612.89612,-26287.85059,-16834.78516
-25714.22647,-26374.83919,-16859.66992
-25752.06990,-26409.25098,-16882.65576
-25795.54162,-26446.27695,-16910.10273
-25805.84510,-26454.45378,-16903.09017
-25813.73135,-26451.39872,-16892.34152
-25825.42068,-26453.06958,-16877.68726
-25823.57739,-26442.28668,-16864.70551
-25828.26228,-26438.50508,-16853.13574
-25837.89436,-26441.85192,-16852.68217
-25852.91449,-26451.55160,-16851.61898
-25874.87490,-26469.09976,-16850.32647
-25887.73267,-26477.79157,-16847.19252
-25891.78655,-26483.74701,-16841.24974
-25891.55742,-26483.53650,-16829.47583
-25891.50419,-26483.39327,-16816.77057
-25884.11420,-26477.10959,-16801.65072
-25876.03585,-26466.78063,-16785.51326
-25858.70940,-26448.17861,-16761.18008
-25847.31113,-26438.39239,-16747.31724
-25840.33291,-26433.01838,-16739.26731
-25837.14008,-26431.07447,-16732.35318
-25832.39183,-26432.25130,-16729.25968
-25832.37752,-26440.85000,-16732.74797
-25833.21459,-26452.17976,-16735.20643
-25836.24229,-26462.54282,-16740.67419
-25838.44337,-26472.83217,-16747.31487
-25836.27969,-26486.80388,-16755.67491
-25837.40359,-26501.51895,-16763.14837
-25837.80259,-26515.31452,-16770.56137
-25836.03967,-26525.65240,-16777.17926
-25842.11086,-26545.86813,-16786.90430
-25848.89246,-26566.19997,-16795.94727
-25854.17216,-26587.33041,-16807.08996
-25856.56733,-26604.63905,-16816.02007
-25861.98881,-26624.90097,-16829.99572
-25864.53174,-26641.43611,-16839.90301
-25864.04121,-26651.84776,-16844.17057
-25862.57845,-26659.95225,-16845.22461
-25859.94174,-26667.15839,-16845.95265
-25856.94846,-26671.09119,-16843.74368
-25851.94741,-26673.25014,-16839.85815
-25845.44521,-26677.86879,-16835.94909
-25840.68012,-26683.38815,-16834.16853
-25837.19881,-26689.44378,-16834.51974
-25831.84998,-26693.07912,-16836.84479
-25829.03574,-26695.36373,-16840.12781
-25822.93571,-26693.34758,-16838.06023
-25813.57695,-26687.71246,-16833.03797
-25805.71052,-26681.43402,-16829.05300
-25801.28193,-26674.98738,-16823.89130
-25797.87948,-26670.77440,-16820.83424
-25793.34627,-26663.05197,-16817.29510
-25791.08170,-26658.14922,-16814.45064
-25789.63420,-26655.14275,-16811.35652
-25783.84317,-26648.26227,-16810.05623
-25778.15702,-26643.66679,-16811.11992
-25769.88266,-26635.36788,-16810.62490
-25759.46242,-26624.13779,-16808.27386
-25750.31892,-26614.33450,-16803.95047
-25741.99384,-26607.02221,-16801.53286
-25732.78028,-26598.48521,-16797.54253
-25724.73811,-26591.87112,-16795.39102
-25716.52932,-26584.37563,-16794.97461
-25708.51083,-26576.68714,-16794.55640
-25700.12516,-26569.59156,-16791.85022
-25695.07401,-26563.97714,-16792.77120
-25692.17226,-26559.44296,-16793.29297
-25690.72737,-26556.70259,-16794.85215
-25686.94276,-26551.98413,-16794.93241
-25682.43678,-26546.70915,-16794.79994
-25679.30603,-26543.29567,-16796.82050
-25677.48849,-26540.29080,-16797.68288
-25676.79594,-26537.72591,-16797.92617
-25676.90823,-26536.03228,-16796.67236
-25674.08716,-26530.91028,-16794.18565
-25671.30081,-26525.20413,-16791.60141
-25667.91554,-26519.18045,-16788.56477
-25664.09744,-26514.36809,-16786.98433
-25657.81427,-26509.01929,-16788.10122
-25651.97102,-26504.51062,-16790.11057
-25646.31806,-26501.19496,-16792.24546
-25641.15153,-26497.84912,-16795.39832
-25635.84289,-26492.88334,-16798.33518
-25630.11078,-26488.34461,-16798.19638
-25625.03646,-26484.82476,-16796.21480
-25617.77677,-26480.07773,-16793.14897
-25612.58023,-26477.08427,-16788.98738
-25607.96348,-26475.41196,-16783.99427
-25601.60680,-26473.07267,-16776.68486
-25597.44041,-26472.85379,-16771.32138
-25593.99420,-26472.32025,-16765.50280
-25590.27885,-26470.27861,-16758.90385
-25587.57783,-26469.48355,-16751.01747
-25585.21694,-26468.72597,-16742.64010
-25581.63891,-26466.17453,-16733.01653
-25577.25094,-26463.61258,-16723.67830
-25572.57364,-26461.54680,-16713.99881
-25567.60887,-26457.71164,-16704.32394
-25560.79534,-26454.14625,-16695.89935
-25553.60622,-26449.16864,-16688.02886
-25544.66019,-26443.59371,-16680.94490
-25534.34861,-26437.52699,-16673.50880
-25523.93238,-26432.33307,-16666.75444
-25513.21252,-26426.31803,-16658.78202
-25505.56235,-26421.67861,-16652.80659
-25496.06082,-26416.46971,-16647.50803
-25486.16405,-26411.41277,-16642.71669
-25476.38786,-26404.88668,-16638.10521
-25466.97214,-26398.03741,-16633.33642
-25457.67474,-26393.45105,-16628.28108
-25449.19743,-26388.92805,-16623.08319
