cpu,cuda,opencl
-128247.424,-128938.391,-119534.331
-128497.737,-129172.692,-119719.626
-128632.372,-129292.985,-119804.607
-128673.633,-129330.814,-119791.237
-128715.286,-129366.022,-119792.522
-128707.939,-129356.548,-119752.744
-128707.100,-129344.767,-119736.215
-128719.703,-129347.352,-119718.255
-128755.291,-129374.000,-119738.894
-128786.701,-129396.943,-119751.073
-128814.048,-129418.005,-119750.861
-128849.305,-129447.942,-119753.165
-128893.814,-129484.194,-119761.899
-128932.973,-129515.855,-119774.311
-128966.564,-129548.419,-119794.024
-128999.287,-129579.673,-119812.186
-129021.576,-129600.585,-119818.523
-129035.557,-129614.561,-119820.644
-129051.506,-129628.064,-119825.534
-129057.340,-129638.293,-119828.889
-129066.418,-129654.096,-119841.333
-129080.731,-129674.683,-119860.311
-129089.262,-129690.103,-119876.191
-129103.288,-129715.036,-119901.408
-129120.253,-129745.280,-119931.090
-129142.559,-129768.057,-119950.676
-129161.850,-129785.359,-119966.162
-129179.509,-129802.430,-119988.045
-129187.689,-129816.196,-120004.658
-129198.220,-129830.353,-120019.883
-129201.319,-129838.008,-120025.528
-129201.767,-129842.345,-120027.352
-129199.037,-129846.172,-120030.119
-129199.803,-129850.271,-120034.669
-129201.186,-129855.750,-120043.000
-129201.111,-129858.200,-120050.596
-129199.218,-129857.659,-120056.564
-129198.526,-129858.065,-120062.489
-129196.855,-129854.803,-120065.240
-129190.818,-129847.481,-120065.103
-129185.825,-129845.320,-120067.049
-129184.278,-129843.490,-120069.983
-129180.949,-129842.405,-120072.449
-129171.662,-129841.345,-120075.493
-129165.447,-129839.467,-120081.263
-129167.030,-129845.167,-120093.178
-129169.583,-129852.149,-120110.557
-129176.981,-129865.486,-120130.929
-129180.232,-129874.667,-120145.170
-129179.545,-129878.887,-120155.292
-129175.766,-129880.881,-120162.571
-129180.230,-129885.514,-120171.663
-129184.216,-129890.890,-120179.558
-129184.567,-129892.898,-120183.818
-129191.426,-129900.709,-120191.048
-129200.065,-129905.707,-120197.916
-129203.204,-129905.905,-120205.766
-129207.016,-129908.487,-120215.893
-129206.765,-129907.023,-120223.649
-129205.136,-129902.937,-120230.426
-129203.848,-129900.668,-120239.109
-129201.074,-129901.496,-120249.298
-129199.303,-129902.382,-120258.052
-129200.103,-129904.468,-120266.773
-129199.455,-129904.151,-120275.658
-129195.406,-129899.712,-120280.885
-129191.631,-129891.155,-120285.729
-129190.355,-129883.485,-120294.795
-129188.958,-129875.061,-120297.927
-129189.849,-129868.836,-120303.398
-129186.537,-129859.856,-120304.681
-129182.368,-129850.700,-120304.827
-129178.999,-129842.669,-120306.483
-129180.367,-129835.781,-120308.371
-129185.934,-129833.937,-120309.014
-129190.350,-129828.218,-120305.837
-129193.311,-129819.705,-120303.478
-129196.871,-129810.107,-120299.743
-129198.910,-129799.493,-120293.871
-129200.232,-129789.549,-120287.612
-129197.318,-129776.908,-120281.178
-129195.232,-129764.871,-120276.590
-129192.399,-129753.094,-120275.159
-129188.620,-129739.668,-120274.234
-129182.974,-129724.997,-120272.631
-129173.778,-129709.061,-120267.037
-129164.096,-129696.423,-120260.562
-129151.185,-129682.322,-120252.597
-129138.991,-129667.817,-120243.096
-129127.034,-129654.575,-120232.999
-129114.458,-129641.745,-120220.445
-129107.579,-129633.593,-120212.551
-129099.406,-129623.798,-120203.151
-129089.415,-129611.927,-120190.452
-129080.113,-129599.793,-120176.503
-129072.134,-129588.561,-120164.058
-129062.290,-129575.256,-120148.267
-129051.280,-129560.181,-120132.200
-129039.541,-129545.903,-120116.995
-129028.095,-129532.350,-120101.734
-129019.805,-129523.245,-120092.364
-129011.625,-129513.596,-120083.259
-129000.399,-129505.235,-120073.497
-128987.971,-129494.793,-120063.574
-128978.325,-129486.896,-120057.276
-128969.240,-129481.229,-120050.235
-128961.650,-129475.695,-120045.419
-128952.315,-129470.330,-120040.440
-128943.699,-129465.085,-120036.189
-128935.193,-129459.640,-120031.354
-128928.308,-129452.510,-120025.928
-128920.558,-129446.113,-120019.530
-128911.148,-129438.147,-120009.006
-128899.810,-129428.750,-119997.093
-128890.830,-129423.630,-119989.017
-128882.371,-129419.331,-119980.913
-128873.585,-129413.657,-119971.532
-128863.707,-129410.659,-119964.129
-128853.503,-129406.675,-119957.541
-128842.738,-129403.063,-119951.322
-128833.319,-129401.334,-119945.056
-128822.679,-129399.417,-119937.141
-128812.334,-129396.706,-119927.421
-128800.415,-129392.481,-119916.856
-128786.296,-129386.698,-119905.358
-128771.971,-129379.645,-119891.982
-128757.294,-129369.998,-119878.574
-128740.677,-129361.781,-119864.562
-128724.999,-129353.551,-119851.876
-128708.859,-129344.786,-119839.614
-128692.062,-129336.124,-119827.357
-128676.661,-129328.107,-119815.694
-128662.636,-129318.079,-119801.469
-128647.191,-129308.764,-119787.133
-128634.884,-129300.582,-119772.065
-128621.478,-129291.671,-119756.956
-128607.860,-129282.836,-119741.760
-128594.392,-129275.147,-119726.791
-128580.038,-129267.397,-119713.667
-128565.869,-129260.594,-119700.109
-128553.166,-129255.003,-119686.726
-128540.003,-129247.990,-119672.642
-128528.437,-129241.669,-119660.449
-128518.469,-129236.854,-119650.132
-128508.888,-129231.702,-119639.729
-128500.349,-129225.604,-119628.604
-128492.454,-129219.399,-119618.578
-128485.083,-129214.463,-119608.787
-128478.385,-129210.167,-119599.608
-128471.713,-129205.443,-119592.782
-128465.903,-129200.229,-119587.138
-128460.224,-129195.175,-119581.120
-128452.470,-129188.265,-119575.093
-128445.171,-129181.877,-119569.485
-128437.296,-129175.932,-119564.851
-128429.013,-129170.656,-119559.335
-128421.443,-129165.211,-119553.468
-128415.289,-129160.454,-119547.354
-128408.460,-129154.617,-119539.067
-128403.065,-129150.435,-119531.711
-128398.361,-129146.688,-119524.957
-128394.851,-129143.354,-119518.771
-128392.287,-129140.160,-119512.419
-128390.105,-129135.742,-119506.579
-128388.572,-129131.796,-119500.503
-128386.589,-129129.252,-119493.115
-128384.879,-129127.778,-119486.721
-128384.392,-129127.152,-119482.125
-128384.749,-129126.425,-119478.495
-128384.926,-129124.765,-119473.285
-128384.570,-129122.655,-119467.722
-128384.028,-129119.545,-119462.367
-128383.313,-129117.025,-119457.132
-128382.516,-129114.188,-119451.930
-128381.918,-129110.760,-119445.782
-128380.869,-129107.180,-119441.974
-128380.694,-129102.965,-119438.374
-128382.036,-129098.274,-119434.504
-128383.279,-129092.801,-119431.188
-128383.288,-129085.042,-119427.602
-128383.034,-129077.394,-119423.146
-128382.526,-129068.069,-119417.856
-128382.147,-129058.480,-119414.034
-128382.407,-129049.481,-119410.761
-128381.609,-129039.826,-119406.713
-128381.363,-129030.960,-119404.422
-128380.362,-129022.258,-119401.863
-128379.743,-129014.647,-119399.694
-128378.680,-129006.411,-119396.905
-128377.051,-128998.347,-119393.732
-128376.804,-128990.185,-119390.613
-128375.995,-128981.633,-119389.566
-128375.048,-128972.511,-119390.313
-128373.941,-128963.261,-119391.389
-128373.203,-128954.816,-119393.336
-128372.446,-128946.157,-119397.318
-128372.606,-128937.325,-119400.646
-128373.622,-128928.956,-119403.757
-128374.457,-128920.233,-119406.500
-128374.640,-128911.534,-119408.495
-128375.608,-128904.205,-119411.059
-128376.833,-128897.150,-119412.401
-128376.162,-128888.763,-119412.378
-128375.907,-128881.186,-119412.124
-128376.856,-128874.381,-119411.259
-128378.601,-128869.321,-119411.283
-128379.331,-128863.442,-119410.973
-128381.037,-128858.864,-119410.731
-128382.201,-128854.023,-119409.706
-128383.139,-128849.478,-119408.256
-128383.234,-128844.854,-119406.304
-128383.723,-128841.379,-119404.281
-128384.987,-128838.307,-119400.778
-128385.607,-128836.295,-119397.329
-128386.193,-128834.555,-119394.438
-128387.790,-128834.081,-119392.417
-128388.594,-128834.116,-119391.038
-128389.887,-128833.459,-119390.271
-128392.165,-128832.422,-119390.067
-128395.255,-128834.508,-119390.356
-128398.003,-128837.454,-119390.669
-128400.286,-128839.615,-119391.099
-128403.356,-128842.180,-119391.675
-128405.832,-128844.900,-119392.759
-128406.879,-128846.918,-119393.843
-128408.290,-128849.164,-119394.901
-128410.369,-128851.868,-119396.026
-128412.179,-128855.170,-119397.740
-128413.891,-128858.630,-119399.502
-128415.767,-128862.003,-119401.621
-128418.335,-128867.348,-119405.306
-128419.767,-128871.947,-119409.634
-128422.257,-128876.505,-119413.981
-128424.748,-128881.651,-119418.089
-128426.644,-128887.319,-119422.015
-128427.912,-128892.030,-119424.899
-128428.810,-128897.283,-119427.154
-128429.517,-128902.379,-119431.576
-128429.882,-128907.071,-119435.873
-128430.722,-128910.516,-119440.059
-128431.526,-128914.173,-119442.814
-128432.334,-128917.742,-119446.896
-128433.159,-128921.563,-119450.950
-128433.430,-128925.497,-119454.866
